gf and snps
PDGFRB
PDGFRA
PDGFRL
PDGFD
PDGFC
TGFBR1
TGFB1I1
TGFB1
TGFBR2
TGFB2
TGFBR3
TGFBI
TGFBRAP1
PNPLA3
TM6SF2
MBOAT7
HSD17B13
GCKR
