,Gene,RNA tissue category,RNA TS TPM
7108,TFF2,Group enriched,duodenum: 1027.1;stomach: 5110.7
7109,TFF3,Tissue enhanced,"cervix, uterine: 470.7;colon: 496.2;rectum: 504.3;thyroid gland: 620.1"
7110,TFPI2,Tissue enriched,placenta: 1208.2
7111,TFR2,Tissue enriched,liver: 155.5
7112,TG,Tissue enriched,thyroid gland: 15620.0
7113,TGFB1I1,Tissue enhanced,endometrium: 137.4;smooth muscle: 150.3
7114,TGFB2,Tissue enhanced,prostate: 30.4
7115,TGFBR3L,Tissue enhanced,duodenum: 1.7;small intestine: 1.8
7116,TGIF2LX,Tissue enriched,testis: 13.3
7117,TGIF2LY,Tissue enriched,testis: 7.3
7118,TGM1,Tissue enriched,esophagus: 831.8
7119,TGM2,Tissue enhanced,"cervix, uterine: 461.0"
7120,TGM3,Tissue enriched,esophagus: 1513.9
7121,TGM4,Tissue enriched,prostate: 689.9
7122,TGM5,Group enriched,esophagus: 8.4;skin: 22.3
7123,TGM7,Group enriched,testis: 1.5;tonsil: 1.5
7124,TH,Tissue enriched,adrenal gland: 259.8
7125,THBS2,Tissue enhanced,gallbladder: 113.4
7126,THBS4,Group enriched,adipose tissue: 234.3;heart muscle: 113.6;smooth muscle: 388.9
7127,THEG,Tissue enriched,testis: 33.5
7128,THEGL,Tissue enriched,testis: 5.6
7129,THEM5,Tissue enriched,skin: 204.8
7130,THEMIS,Tissue enhanced,lymph node: 8.4
7131,THEMIS2,Tissue enhanced,bone marrow: 137.5
7132,THNSL2,Tissue enhanced,parathyroid gland: 74.4
7133,THPO,Tissue enhanced,liver: 8.9
7134,THRSP,Tissue enhanced,adipose tissue: 231.2;liver: 182.9
7135,THSD4,Tissue enhanced,"cervix, uterine: 160.5"
7136,THSD7B,Tissue enhanced,epididymis: 5.1
7137,THY1,Tissue enhanced,cerebral cortex: 421.8;smooth muscle: 434.2
7138,TIAM2,Tissue enhanced,cerebral cortex: 18.0;testis: 24.4
7139,TIE1,Tissue enhanced,placenta: 70.6
7140,TIFAB,Tissue enhanced,appendix: 4.9;lymph node: 6.3
7141,TIGD3,Tissue enhanced,testis: 3.9
7142,TIGD4,Tissue enhanced,testis: 8.6
7143,TIGD6,Tissue enhanced,parathyroid gland: 21.4
7144,TIGIT,Tissue enhanced,lymph node: 44.3
7145,TIMD4,Group enriched,lymph node: 63.6;testis: 163.0
7146,TIMP3,Tissue enhanced,placenta: 1439.9
7147,TIMP4,Tissue enriched,adipose tissue: 138.8
7148,TINAG,Tissue enriched,kidney: 113.9
7149,TINAGL1,Tissue enhanced,placenta: 268.9
7150,TINCR,Tissue enriched,skin: 107.2
7151,TINF2,Tissue enriched,parathyroid gland: 1349.0
7152,TIPIN,Tissue enhanced,testis: 36.9
7153,TISP43,Tissue enriched,testis: 11.5
