,Gene,RNA tissue category,RNA TS TPM
0,A1BG,Tissue enriched,liver: 505.6
1,A1CF,Tissue enhanced,liver: 76.0;small intestine: 29.8
2,A2ML1,Tissue enriched,esophagus: 479.2
3,A4GNT,Tissue enriched,stomach: 24.5
4,AADAC,Group enriched,adrenal gland: 150.1;duodenum: 182.4;liver: 386.8;small intestine: 215.8
5,AADACL2,Tissue enriched,skin: 31.1
6,AADACL3,Tissue enhanced,placenta: 1.3
7,AADAT,Tissue enhanced,liver: 34.7
8,AAK1,Tissue enriched,parathyroid gland: 389.6
9,AANAT,Tissue enhanced,testis: 4.5
10,AARD,Tissue enriched,testis: 42.4
11,AATK,Tissue enhanced,cerebral cortex: 36.4;duodenum: 23.4
12,ABAT,Tissue enhanced,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2
13,ABC13-47488600E17.1,Tissue enhanced,stomach: 2.6;testis: 5.9
14,ABC7-42404400C24.1,Tissue enhanced,cerebral cortex: 13.8;lung: 19.3
15,ABCA12,Group enriched,breast: 7.7;skin: 25.2
16,ABCA13,Tissue enriched,bone marrow: 29.4
17,ABCA2,Tissue enriched,cerebral cortex: 97.9
18,ABCA3,Tissue enhanced,lung: 135.5
19,ABCA4,Tissue enhanced,epididymis: 9.9
20,ABCA6,Tissue enhanced,liver: 41.4
21,ABCB1,Tissue enhanced,adrenal gland: 137.8;small intestine: 82.4
22,ABCB11,Tissue enriched,liver: 19.1
23,ABCB4,Tissue enriched,liver: 69.3
24,ABCB5,Tissue enriched,epididymis: 32.3
25,ABCB9,Tissue enhanced,testis: 23.8
26,ABCC11,Tissue enriched,breast: 64.4
27,ABCC12,Tissue enhanced,testis: 2.9
28,ABCC2,Group enriched,duodenum: 43.5;gallbladder: 42.7;kidney: 20.9;liver: 67.6;small intestine: 49.5
29,ABCC4,Tissue enhanced,prostate: 70.4
30,ABCC6,Tissue enhanced,kidney: 16.9;liver: 23.4
31,ABCC8,Tissue enhanced,cerebral cortex: 11.3
32,ABCD2,Tissue enhanced,adipose tissue: 16.7
33,ABCG2,Tissue enhanced,small intestine: 113.8
34,ABCG4,Group enriched,cerebral cortex: 6.6;parathyroid gland: 4.1;testis: 5.1
35,ABCG5,Group enriched,duodenum: 56.5;liver: 28.4;small intestine: 56.2
36,ABCG8,Group enriched,duodenum: 50.0;liver: 34.0;small intestine: 55.5
37,ABHD1,Tissue enriched,testis: 30.0
38,ABHD12B,Tissue enriched,skin: 16.3
39,ABHD14A-ACY1,Tissue enhanced,small intestine: 1.7
40,ABHD16A,Tissue enhanced,gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4
41,ABI3,Tissue enhanced,spleen: 62.0
42,ABLIM2,Tissue enhanced,skeletal muscle: 37.5;spleen: 28.4
43,ABLIM3,Tissue enhanced,parathyroid gland: 79.4
44,ABO,Tissue enhanced,small intestine: 17.9
45,ABRA,Group enriched,heart muscle: 11.0;skeletal muscle: 49.8
46,AC002429.5,Tissue enriched,cerebral cortex: 2.7
47,AC004381.6,Tissue enriched,testis: 618.5
48,AC004754.3,Group enriched,duodenum: 14.2;small intestine: 7.8
49,AC005281.1,Group enriched,fallopian tube: 8.1;testis: 1.6
50,AC006116.20,Tissue enriched,epididymis: 120.3
51,AC006486.9,Tissue enhanced,cerebral cortex: 7.8
52,AC007040.11,Tissue enhanced,testis: 1.1
53,AC007325.1,Tissue enriched,testis: 16.5
54,AC007325.2,Tissue enhanced,skin: 38.5;small intestine: 37.1
55,AC007325.4,Tissue enhanced,cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5
56,AC009014.3,Tissue enhanced,duodenum: 13.2;kidney: 22.7
57,AC009133.22,Tissue enhanced,colon: 2.6;duodenum: 1.8;spleen: 1.0
58,AC009477.8,Tissue enriched,adipose tissue: 1.1
59,AC011513.3,Group enriched,colon: 41.2;esophagus: 10.3
60,AC011530.4,Tissue enhanced,epididymis: 1.0
61,AC018755.18,Tissue enhanced,appendix: 10.0;bone marrow: 17.4
62,AC023491.2,Tissue enriched,testis: 67.4
63,AC025335.1,Tissue enriched,skin: 61.7
64,AC037459.4,Tissue enhanced,spleen: 3.6
65,AC069368.3,Tissue enhanced,spleen: 8.8
66,AC113404.1,Tissue enriched,small intestine: 3.4
67,AC114783.1,Tissue enriched,testis: 57.8
68,AC131097.4,Tissue enhanced,thyroid gland: 11.5
69,AC133551.1,Group enriched,epididymis: 7.4;testis: 4.1
70,AC136612.1,Tissue enriched,testis: 4.3
71,AC136616.1,Group enriched,skin: 1.6;testis: 6.9
72,AC136616.3,Tissue enhanced,"cervix, uterine: 8.6;tonsil: 6.6"
73,AC138517.6,Tissue enhanced,rectum: 2.6
74,AC138647.1,Tissue enhanced,testis: 1.8
75,AC141272.1,Tissue enhanced,tonsil: 114.8
76,AC171558.1,Tissue enriched,testis: 4.3
77,AC171558.2,Tissue enriched,testis: 2.5
78,AC213203.1,Tissue enriched,testis: 24.2
79,AC233755.1,Tissue enhanced,urinary bladder: 1019.5
80,AC233755.2,Tissue enhanced,tonsil: 197.2
81,ACACB,Tissue enriched,adipose tissue: 194.8
82,ACADL,Tissue enhanced,thyroid gland: 32.0
83,ACAN,Tissue enhanced,seminal vesicle: 5.0
84,ACAP1,Tissue enhanced,lymph node: 94.2
85,ACBD7,Tissue enriched,cerebral cortex: 40.5
86,ACE,Tissue enhanced,duodenum: 178.9;small intestine: 291.6
87,ACE2,Group enriched,duodenum: 181.1;gallbladder: 100.2;kidney: 94.0;small intestine: 261.1;testis: 93.0
88,ACER1,Tissue enriched,skin: 67.8
89,ACER2,Group enriched,placenta: 14.8;stomach: 62.9;urinary bladder: 44.1
90,ACHE,Tissue enhanced,skeletal muscle: 58.5
91,ACKR2,Tissue enhanced,placenta: 22.9
92,ACMSD,Group enriched,kidney: 137.3;liver: 80.2
93,ACOD1,Tissue enriched,appendix: 1.9
94,ACOT12,Tissue enriched,liver: 51.3
95,ACOT4,Tissue enhanced,kidney: 8.9
96,ACOT6,Tissue enhanced,kidney: 3.8
97,ACOT7,Tissue enhanced,cerebral cortex: 129.2
98,ACOX2,Tissue enhanced,liver: 87.9
99,ACOXL,Group enriched,epididymis: 9.2;lung: 14.5;parathyroid gland: 6.9;prostate: 5.2;testis: 5.2;urinary bladder: 7.6
100,ACP5,Tissue enhanced,lung: 254.0
101,ACP7,Group enriched,cerebral cortex: 1.8;skin: 6.9;tonsil: 2.3
102,ACPP,Tissue enriched,prostate: 6030.6
103,ACPT,Tissue enhanced,skin: 1.4;testis: 2.2
104,ACR,Tissue enriched,testis: 58.0
105,ACRBP,Tissue enriched,testis: 432.5
106,ACRV1,Tissue enriched,testis: 153.6
107,ACSBG1,Tissue enhanced,cerebral cortex: 25.6;skin: 13.3
108,ACSBG2,Tissue enriched,testis: 294.0
109,ACSF2,Tissue enhanced,kidney: 136.9
110,ACSL6,Group enriched,bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4
111,ACSM1,Tissue enriched,breast: 298.7
112,ACSM2A,Group enriched,kidney: 285.2;liver: 185.7
113,ACSM2B,Group enriched,kidney: 426.7;liver: 262.0
114,ACSM3,Tissue enhanced,liver: 93.2
115,ACSM4,Tissue enhanced,testis: 1.7
116,ACSM5,Tissue enriched,liver: 142.6
117,ACSM6,Tissue enhanced,stomach: 1.7
118,ACTA1,Tissue enriched,skeletal muscle: 45978.0
119,ACTC1,Tissue enriched,heart muscle: 1903.0
120,ACTG2,Tissue enhanced,seminal vesicle: 8158.9;smooth muscle: 11634.7
121,ACTL10,Tissue enriched,testis: 22.1
122,ACTL6B,Tissue enriched,cerebral cortex: 45.6
123,ACTL7A,Tissue enriched,testis: 193.7
124,ACTL7B,Tissue enriched,testis: 58.9
125,ACTL8,Tissue enriched,testis: 10.0
126,ACTL9,Tissue enriched,testis: 50.0
127,ACTN2,Group enriched,heart muscle: 477.5;skeletal muscle: 758.7
128,ACTN3,Tissue enriched,skeletal muscle: 556.5
129,ACTR3C,Tissue enriched,parathyroid gland: 87.3
130,ACTRT1,Tissue enriched,testis: 3.6
131,ACTRT2,Tissue enriched,testis: 102.2
132,ACTRT3,Tissue enriched,testis: 60.6
133,ACVR1C,Tissue enriched,adipose tissue: 34.1
134,ACVRL1,Tissue enhanced,placenta: 126.4
135,ACY1,Group enriched,duodenum: 130.8;kidney: 356.0;liver: 114.9;small intestine: 103.3
136,ACY3,Tissue enhanced,duodenum: 80.6;kidney: 53.3;small intestine: 78.6
137,ADA,Tissue enriched,duodenum: 487.7
138,ADAD1,Tissue enriched,testis: 212.1
139,ADAD2,Tissue enriched,testis: 32.3
140,ADAM11,Tissue enhanced,cerebral cortex: 19.8
141,ADAM12,Tissue enriched,placenta: 237.2
142,ADAM18,Tissue enriched,testis: 8.4
143,ADAM2,Tissue enriched,testis: 41.9
144,ADAM20,Tissue enriched,testis: 9.2
145,ADAM21,Tissue enriched,testis: 15.5
146,ADAM22,Tissue enhanced,cerebral cortex: 47.6
147,ADAM23,Group enriched,cerebral cortex: 55.4;parathyroid gland: 135.3
148,ADAM28,Tissue enhanced,epididymis: 435.5
149,ADAM29,Tissue enriched,testis: 73.3
150,ADAM30,Tissue enriched,testis: 47.0
151,ADAM32,Tissue enriched,testis: 28.7
152,ADAM7,Tissue enriched,epididymis: 4534.6
153,ADAM8,Tissue enhanced,bone marrow: 43.8;spleen: 32.9
154,ADAMDEC1,Tissue enhanced,colon: 210.9;rectum: 339.7;small intestine: 476.3
155,ADAMTS1,Tissue enhanced,ovary: 412.9
156,ADAMTS14,Tissue enhanced,gallbladder: 10.9;placenta: 11.1
157,ADAMTS15,Tissue enhanced,adipose tissue: 30.3;placenta: 23.7
158,ADAMTS16,Tissue enhanced,gallbladder: 9.9;ovary: 11.2
159,ADAMTS18,Tissue enriched,placenta: 29.1
160,ADAMTS19,Group enriched,"cervix, uterine: 16.8;endometrium: 16.9;placenta: 5.4;smooth muscle: 9.2"
161,ADAMTS3,Tissue enhanced,parathyroid gland: 7.3
162,ADAMTS4,Tissue enhanced,adipose tissue: 62.8
163,ADAMTS5,Tissue enhanced,placenta: 42.4
164,ADAMTS6,Tissue enhanced,placenta: 2.7
165,ADAMTS7,Tissue enhanced,endometrium: 7.2
166,ADAMTS8,Tissue enhanced,appendix: 10.9;lung: 15.5
167,ADAMTS9,Tissue enhanced,placenta: 45.1
168,ADAMTSL1,Tissue enhanced,endometrium: 24.1
169,ADAMTSL2,Tissue enhanced,adrenal gland: 29.0
170,ADAMTSL4,Tissue enhanced,placenta: 88.9
171,ADAMTSL5,Tissue enhanced,"cervix, uterine: 29.0"
172,ADAP1,Tissue enhanced,cerebral cortex: 80.4
173,ADARB2,Tissue enriched,cerebral cortex: 13.1
174,ADAT3,Tissue enhanced,duodenum: 7.5
175,ADCY1,Tissue enhanced,cerebral cortex: 35.0
176,ADCY10,Tissue enriched,testis: 33.1
177,ADCY2,Tissue enhanced,cerebral cortex: 57.2;skeletal muscle: 23.6
178,ADCY4,Tissue enhanced,placenta: 21.1
179,ADCY5,Tissue enhanced,heart muscle: 69.1
180,ADCY8,Group enriched,cerebral cortex: 12.9;epididymis: 27.8;fallopian tube: 6.2
181,ADCYAP1,Tissue enhanced,appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7
182,ADCYAP1R1,Tissue enhanced,cerebral cortex: 137.1;fallopian tube: 46.8
183,ADD2,Group enriched,bone marrow: 40.2;cerebral cortex: 44.7
184,ADGB,Group enriched,fallopian tube: 14.9;testis: 58.5
185,ADGRA1,Tissue enhanced,adrenal gland: 4.9;cerebral cortex: 22.4
186,ADGRB1,Tissue enriched,cerebral cortex: 22.0
187,ADGRB2,Tissue enriched,cerebral cortex: 72.3
188,ADGRB3,Tissue enriched,cerebral cortex: 53.1
189,ADGRD1,Tissue enhanced,placenta: 44.7
190,ADGRD2,Tissue enhanced,seminal vesicle: 1.8
191,ADGRE1,Tissue enhanced,appendix: 9.9;spleen: 19.7
192,ADGRE2,Tissue enhanced,appendix: 27.0;spleen: 15.4
193,ADGRE3,Tissue enhanced,appendix: 8.7;spleen: 8.6
194,ADGRF1,Tissue enhanced,esophagus: 14.6;kidney: 17.6;urinary bladder: 18.9
195,ADGRF2,Tissue enhanced,fallopian tube: 1.5;skin: 1.4
196,ADGRF4,Group enriched,esophagus: 12.1;skin: 45.8
197,ADGRF5,Tissue enhanced,lung: 157.8
198,ADGRG2,Tissue enriched,epididymis: 1494.8
199,ADGRG3,Group enriched,appendix: 19.0;bone marrow: 86.6
200,ADGRG4,Tissue enhanced,duodenum: 2.5;small intestine: 1.7
201,ADGRG5,Tissue enhanced,lymph node: 11.2;tonsil: 8.8
202,ADGRG6,Tissue enhanced,placenta: 67.2
203,ADGRG7,Group enriched,duodenum: 42.8;liver: 12.5;small intestine: 42.9
204,ADGRL1,Tissue enhanced,cerebral cortex: 60.1
205,ADGRL3,Tissue enhanced,cerebral cortex: 42.0;parathyroid gland: 30.6
206,ADGRV1,Tissue enriched,adrenal gland: 261.4
207,ADH1A,Tissue enriched,liver: 1367.7
208,ADH1B,Group enriched,adipose tissue: 1624.6;liver: 3000.2
209,ADH1C,Tissue enhanced,duodenum: 508.1;liver: 888.0;stomach: 477.4
210,ADH4,Tissue enriched,liver: 2628.5
211,ADH6,Tissue enriched,liver: 359.6
212,ADH7,Tissue enriched,esophagus: 215.5
213,ADIG,Group enriched,epididymis: 5.1;testis: 16.1;thyroid gland: 3.4
214,ADIPOQ,Tissue enriched,adipose tissue: 937.7
215,ADIRF,Tissue enhanced,adipose tissue: 265.8
216,ADM2,Tissue enhanced,thyroid gland: 19.2
217,ADORA1,Tissue enhanced,cerebral cortex: 50.2;testis: 25.4
218,ADORA2A,Tissue enhanced,bone marrow: 24.6;lymph node: 22.7
219,ADPRHL1,Group enriched,heart muscle: 258.3;skeletal muscle: 114.3
220,ADRA1A,Tissue enhanced,adipose tissue: 22.6;liver: 31.6;prostate: 20.8
221,ADRA1B,Tissue enhanced,cerebral cortex: 14.8;spleen: 17.0
222,ADRA1D,Tissue enhanced,"cervix, uterine: 4.3;prostate: 4.5"
223,ADRA2C,Tissue enhanced,"cervix, uterine: 20.9;endometrium: 26.0;seminal vesicle: 26.8"
224,ADRB1,Tissue enhanced,placenta: 45.4
225,ADRB3,Tissue enhanced,ovary: 8.9;placenta: 3.7
226,ADSSL1,Tissue enriched,skeletal muscle: 428.0
227,ADTRP,Tissue enhanced,small intestine: 79.4
228,AFAP1L2,Tissue enhanced,thyroid gland: 138.0
229,AFF2,Tissue enhanced,epididymis: 14.5;placenta: 21.1
230,AFM,Tissue enriched,liver: 468.3
231,AFP,Tissue enhanced,liver: 1.9
232,AGAP2,Tissue enriched,cerebral cortex: 144.5
233,AGBL1,Tissue enhanced,lung: 1.3;skeletal muscle: 4.4
234,AGBL2,Group enriched,fallopian tube: 15.3;testis: 22.6
235,AGBL4,Tissue enhanced,cerebral cortex: 7.9
236,AGBL5,Tissue enriched,testis: 357.5
237,AGER,Tissue enriched,lung: 889.2
238,AGFG2,Tissue enriched,salivary gland: 127.1
239,AGL,Tissue enhanced,skeletal muscle: 90.3
240,AGMAT,Tissue enhanced,kidney: 158.9
241,AGMO,Tissue enhanced,liver: 63.7
242,AGPAT4,Tissue enhanced,cerebral cortex: 24.7
243,AGR2,Tissue enhanced,rectum: 1322.0;stomach: 1307.3
244,AGR3,Tissue enhanced,fallopian tube: 354.7;small intestine: 259.5
245,AGRP,Group enriched,adrenal gland: 5.8;epididymis: 24.7
246,AGT,Tissue enhanced,cerebral cortex: 226.5;liver: 649.6
247,AGTR1,Tissue enhanced,placenta: 214.0
248,AGTR2,Group enriched,"cervix, uterine: 6.8;endometrium: 13.9;fallopian tube: 3.8;lung: 12.6;smooth muscle: 17.6"
249,AGXT,Tissue enriched,liver: 611.6
250,AGXT2,Group enriched,kidney: 197.9;liver: 59.3
251,AHNAK2,Tissue enriched,skin: 345.5
252,AHRR,Tissue enriched,testis: 65.2
253,AHSG,Tissue enriched,liver: 2823.4
254,AHSP,Tissue enriched,bone marrow: 881.3
255,AICDA,Group enriched,appendix: 4.9;lymph node: 18.7;tonsil: 11.0
256,AIF1,Tissue enhanced,spleen: 78.3
257,AIF1L,Tissue enhanced,kidney: 287.5;spleen: 288.1
258,AIFM2,Tissue enhanced,adipose tissue: 42.7
259,AIFM3,Tissue enhanced,cerebral cortex: 18.5;colon: 18.7
260,AIM1,Tissue enhanced,placenta: 107.4
261,AIM1L,Tissue enhanced,esophagus: 51.2;skin: 21.5
262,AIM2,Tissue enhanced,lymph node: 52.5;spleen: 30.9;tonsil: 40.1
263,AJAP1,Tissue enhanced,cerebral cortex: 11.3;ovary: 6.0
264,AJUBA,Tissue enhanced,skin: 73.7
265,AK4,Tissue enhanced,kidney: 190.7
266,AK5,Tissue enriched,cerebral cortex: 220.7
267,AK7,Tissue enhanced,fallopian tube: 38.8
268,AK8,Tissue enhanced,epididymis: 16.0;fallopian tube: 30.0;testis: 21.7
269,AK9,Tissue enhanced,testis: 31.2
270,AKAIN1,Tissue enriched,adrenal gland: 20.1
271,AKAP14,Group enriched,fallopian tube: 67.8;testis: 73.2
272,AKAP3,Tissue enriched,testis: 179.9
273,AKAP4,Tissue enriched,testis: 279.5
274,AKAP5,Tissue enriched,cerebral cortex: 22.5
275,AKAP6,Tissue enhanced,cerebral cortex: 49.0;heart muscle: 36.0
276,AKNAD1,Tissue enriched,testis: 6.4
277,AKR1B1,Tissue enriched,adrenal gland: 2486.1
278,AKR1B10,Tissue enhanced,duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4
279,AKR1B15,Tissue enriched,breast: 179.9
280,AKR1C2,Group enriched,adipose tissue: 330.4;breast: 105.2;esophagus: 94.9;gallbladder: 151.9;liver: 161.4;stomach: 126.5;urinary bladder: 143.0
281,AKR1C4,Tissue enriched,liver: 360.3
282,AKR1D1,Tissue enriched,liver: 229.4
283,AKR1E2,Tissue enriched,testis: 29.8
284,AKR7A3,Group enriched,duodenum: 170.4;gallbladder: 38.7;kidney: 49.0;liver: 44.8;small intestine: 106.8;stomach: 70.3
285,AL513523.2,Tissue enhanced,lymph node: 1.4;skin: 3.5
286,ALAS2,Tissue enriched,bone marrow: 335.6
287,ALB,Tissue enriched,liver: 105947.0
288,ALCAM,Tissue enhanced,parathyroid gland: 471.5
289,ALDH1A2,Tissue enhanced,endometrium: 118.1;fallopian tube: 108.9
290,ALDH1A3,Tissue enhanced,prostate: 217.5
291,ALDH1L1,Tissue enhanced,kidney: 121.2;liver: 190.4
292,ALDH3A1,Group enriched,esophagus: 406.1;skin: 84.3;stomach: 207.2
293,ALDH3B1,Tissue enhanced,fallopian tube: 64.4;lung: 67.7
294,ALDH3B2,Group enriched,breast: 89.9;esophagus: 103.4;skin: 122.2
295,ALDH4A1,Tissue enhanced,kidney: 185.7;liver: 108.1
296,ALDH8A1,Group enriched,kidney: 74.3;liver: 127.7
297,ALDOA,Tissue enriched,skeletal muscle: 9377.0
298,ALDOB,Group enriched,duodenum: 3705.7;kidney: 6574.8;liver: 5092.2;small intestine: 5611.2
299,ALDOC,Tissue enriched,cerebral cortex: 766.6
300,ALG1L,Tissue enhanced,epididymis: 13.1;urinary bladder: 14.8
301,ALG1L2,Tissue enhanced,spleen: 1.0
302,ALK,Tissue enhanced,cerebral cortex: 2.7;testis: 2.0
303,ALKAL1,Tissue enhanced,gallbladder: 3.5;thyroid gland: 3.6
304,ALKAL2,Tissue enhanced,adrenal gland: 257.4
305,ALLC,Tissue enriched,testis: 23.9
306,ALMS1,Tissue enhanced,testis: 32.5
307,ALOX12,Group enriched,esophagus: 50.3;skin: 25.9
308,ALOX12B,Group enriched,skin: 70.0;tonsil: 17.2
309,ALOX15,Tissue enhanced,fallopian tube: 19.6;lung: 9.8
310,ALOX15B,Tissue enhanced,breast: 145.0;prostate: 115.3
311,ALOX5,Tissue enhanced,lung: 41.3
312,ALOXE3,Tissue enriched,skin: 36.5
313,ALPI,Group enriched,duodenum: 203.2;small intestine: 212.1
314,ALPK2,Tissue enhanced,heart muscle: 28.6;skeletal muscle: 14.1
315,ALPK3,Tissue enhanced,heart muscle: 32.8;parathyroid gland: 36.2;skeletal muscle: 47.6
316,ALPL,Tissue enhanced,lung: 78.8
317,ALPP,Group enriched,"cervix, uterine: 25.5;placenta: 45.5"
318,ALPPL2,Tissue enhanced,fallopian tube: 1.5
319,ALS2CL,Tissue enhanced,skin: 38.8
320,ALS2CR11,Tissue enriched,testis: 74.2
321,ALS2CR12,Group enriched,fallopian tube: 15.0;testis: 31.8
322,ALX1,Tissue enhanced,epididymis: 4.3;kidney: 3.1
323,ALX4,Tissue enhanced,breast: 2.2
324,AMBP,Tissue enriched,liver: 5176.2
325,AMDHD1,Tissue enhanced,testis: 25.8
326,AMER2,Tissue enriched,cerebral cortex: 72.4
327,AMER3,Tissue enriched,cerebral cortex: 7.0
328,AMH,Tissue enriched,testis: 1.6
329,AMHR2,Tissue enhanced,adrenal gland: 32.1;ovary: 40.9
330,AMN,Group enriched,colon: 20.0;duodenum: 34.2;kidney: 29.0;small intestine: 70.6
331,AMOT,Tissue enhanced,epididymis: 177.9
332,AMPD1,Tissue enriched,skeletal muscle: 193.6
333,AMPD3,Tissue enhanced,parathyroid gland: 54.4
334,AMPH,Tissue enriched,cerebral cortex: 83.7
335,AMTN,Tissue enhanced,stomach: 6.9;tonsil: 24.9
336,AMY1A,Tissue enriched,salivary gland: 8875.9
337,AMY1B,Tissue enriched,salivary gland: 1841.0
338,AMY1C,Tissue enhanced,"cervix, uterine: 33.0;salivary gland: 101.8"
339,AMY2A,Tissue enriched,pancreas: 31329.4
340,AMY2B,Tissue enriched,pancreas: 6585.9
341,AMZ1,Tissue enhanced,cerebral cortex: 4.0
342,ANG,Tissue enriched,liver: 1565.4
343,ANGPT1,Tissue enhanced,seminal vesicle: 46.2
344,ANGPT4,Tissue enhanced,"cervix, uterine: 5.4"
345,ANGPTL1,Tissue enhanced,placenta: 190.2
346,ANGPTL3,Tissue enriched,liver: 356.4
347,ANGPTL4,Tissue enhanced,adipose tissue: 78.7
348,ANGPTL5,Tissue enhanced,ovary: 27.1
349,ANGPTL6,Tissue enhanced,liver: 11.0
350,ANGPTL7,Tissue enhanced,seminal vesicle: 9.3
351,ANGPTL8,Group enriched,adipose tissue: 13.7;liver: 63.8
352,ANHX,Tissue enriched,testis: 7.5
353,ANK1,Tissue enriched,skeletal muscle: 348.3
354,ANK2,Tissue enhanced,cerebral cortex: 184.4
355,ANKAR,Tissue enriched,testis: 10.3
356,ANKDD1B,Tissue enhanced,fallopian tube: 3.5
357,ANKEF1,Tissue enhanced,testis: 33.7
358,ANKFN1,Tissue enhanced,"cervix, uterine: 14.3;fallopian tube: 8.5"
359,ANKK1,Tissue enhanced,skin: 4.2
360,ANKLE1,Tissue enhanced,bone marrow: 13.7
361,ANKMY1,Group enriched,fallopian tube: 39.5;testis: 94.2
362,ANKRD1,Tissue enriched,heart muscle: 3714.2
363,ANKRD13B,Tissue enhanced,cerebral cortex: 25.9
364,ANKRD18A,Tissue enhanced,bone marrow: 11.3;testis: 10.2
365,ANKRD18B,Tissue enhanced,testis: 6.4
366,ANKRD2,Group enriched,heart muscle: 35.9;skeletal muscle: 119.4
367,ANKRD20A1,Tissue enriched,testis: 5.2
368,ANKRD20A2,Tissue enriched,testis: 4.9
369,ANKRD22,Tissue enhanced,skin: 38.6;stomach: 49.2
370,ANKRD23,Tissue enriched,skeletal muscle: 495.5
371,ANKRD24,Tissue enhanced,cerebral cortex: 13.5;testis: 7.0
372,ANKRD30A,Tissue enriched,breast: 49.8
373,ANKRD30B,Tissue enriched,testis: 14.4
374,ANKRD30BL,Tissue enriched,testis: 3.0
375,ANKRD31,Tissue enriched,testis: 9.9
376,ANKRD34A,Tissue enriched,cerebral cortex: 12.7
377,ANKRD34B,Tissue enhanced,bone marrow: 1.1;lymph node: 1.0;tonsil: 1.1
378,ANKRD34C,Tissue enhanced,cerebral cortex: 1.9
379,ANKRD35,Group enriched,"cervix, uterine: 30.8;esophagus: 16.6;skin: 69.8"
380,ANKRD36C,Tissue enhanced,testis: 22.0
381,ANKRD42,Tissue enhanced,testis: 71.5
382,ANKRD45,Tissue enhanced,fallopian tube: 35.0;parathyroid gland: 22.9;testis: 36.3
383,ANKRD53,Tissue enhanced,testis: 17.5
384,ANKRD55,Group enriched,lymph node: 4.1;testis: 17.3
385,ANKRD60,Tissue enriched,testis: 4.7
386,ANKRD61,Tissue enhanced,testis: 11.0
387,ANKRD62,Tissue enriched,testis: 4.1
388,ANKRD63,Tissue enriched,cerebral cortex: 1.0
389,ANKRD65,Tissue enhanced,fallopian tube: 60.0
390,ANKRD66,Tissue enriched,fallopian tube: 64.0
391,ANKRD7,Tissue enriched,testis: 1542.7
392,ANKS1B,Tissue enriched,cerebral cortex: 111.9
393,ANKS4B,Tissue enhanced,duodenum: 9.0;rectum: 7.8;small intestine: 12.9
394,ANKUB1,Tissue enriched,fallopian tube: 9.0
395,ANLN,Tissue enhanced,cerebral cortex: 87.2
396,ANO1,Tissue enhanced,epididymis: 220.9;seminal vesicle: 298.5
397,ANO2,Tissue enhanced,testis: 17.8
398,ANO3,Tissue enriched,epididymis: 62.2
399,ANO4,Group enriched,"adrenal gland: 17.6;cerebral cortex: 10.0;cervix, uterine: 12.6;endometrium: 8.4;ovary: 10.9;prostate: 11.7;seminal vesicle: 11.4"
400,ANO5,Tissue enhanced,parathyroid gland: 56.1
401,ANO7,Tissue enhanced,prostate: 100.6;stomach: 26.0
402,ANO8,Tissue enhanced,cerebral cortex: 34.5
403,ANO9,Tissue enhanced,duodenum: 31.6;small intestine: 30.9
404,ANOS1,Group enriched,cerebral cortex: 32.3;lung: 64.7;parathyroid gland: 48.5;thyroid gland: 15.5
405,ANPEP,Group enriched,duodenum: 2386.4;small intestine: 2133.7
406,ANTXRL,Tissue enriched,testis: 15.5
407,ANXA1,Tissue enriched,esophagus: 7548.8
408,ANXA10,Tissue enriched,stomach: 459.7
409,ANXA13,Group enriched,duodenum: 296.6;fallopian tube: 92.7;gallbladder: 227.6;small intestine: 235.6
410,ANXA2R,Tissue enhanced,lymph node: 21.9
411,ANXA8,Tissue enhanced,esophagus: 229.1;skin: 368.9
412,ANXA8L1,Group enriched,esophagus: 199.3;skin: 460.9
413,AOAH,Tissue enhanced,spleen: 88.9
414,AOC1,Tissue enhanced,placenta: 716.9;small intestine: 247.6
415,AOC2,Group enriched,adipose tissue: 6.2;testis: 5.8
416,AOC3,Tissue enhanced,adipose tissue: 450.1
417,AOX1,Group enriched,adrenal gland: 368.8;kidney: 97.5;liver: 432.3
418,AP000322.53,Group enriched,breast: 1.5;fallopian tube: 1.4;kidney: 4.3
419,AP1S2,Tissue enriched,epididymis: 920.5
420,AP1S3,Tissue enhanced,epididymis: 54.2
421,AP3B2,Group enriched,cerebral cortex: 36.2;parathyroid gland: 7.4
422,APBA1,Tissue enhanced,cerebral cortex: 18.4
423,APBA2,Tissue enhanced,cerebral cortex: 12.2
424,APBB3,Tissue enhanced,cerebral cortex: 11.5
425,APC,Tissue enhanced,cerebral cortex: 60.1
426,APC2,Tissue enriched,cerebral cortex: 70.5
427,APCDD1,Tissue enhanced,skin: 153.1
428,APCDD1L,Tissue enhanced,breast: 6.5;salivary gland: 11.6
429,APCS,Tissue enriched,liver: 1851.8
430,APELA,Tissue enhanced,prostate: 6.3
431,APH1B,Tissue enhanced,testis: 153.4
432,APITD1-CORT,Tissue enriched,testis: 38.7
433,APLN,Tissue enhanced,placenta: 79.6
434,APLNR,Group enriched,cerebral cortex: 82.7;placenta: 146.8;spleen: 161.6
